"background","knock_in","background_fun.mean","background_fun.sd","delta_fun.mean","delta_fun.sd"
"Hop,Pk,Sc5,Sp,Wa,Zb","Lt",0.81875,0.0291098351077432,0.0572833333333334,0.0372821114387763
"Hop,Pk,Sc8,Sp,Wa,Zb","Lt",0.847933333333333,0.00933505936421049,0.0885166666666666,0.0201698620058079
"Ku,Sp","Lt",0.357366666666667,0.0145679728628706,0.563166666666667,0.034903951543247
"Ap,Hop,Mp,Zb","Lt",0.344816666666667,0.00926800050352467,0.304583333333333,0.0189508794870669
"Ap,Hop,Mp,Sc5,Zb","Lt",0.845783333333333,0.0163571340195443,-0.0375166666666666,0.0372887494203457
"Ap,Hop,Mp,Sc8,Zb","Lt",0.899416666666667,0.00498556248916139,-0.03885,0.0369999662162007
"Ku,Mp,Pk,Td,Zb","Lt",0.536233333333333,0.041727009638043,0.195866666666667,0.0398078614513934
"Ku,Mp,Pk,Sc5,Td,Zb","Lt",0.719083333333333,0.0265480853044684,0.115216666666667,0.0217518581581743
"Ku,Mp,Pk,Sc8,Td,Zb","Lt",0.754616666666667,0.0476929065305663,0.106516666666667,0.0352312834471487
"Ku,Pk,Td,Wa,Zb","Lt",0.55635,0.044342784080389,0.280866666666667,0.0245066487577012
"Ku,Pk,Sc5,Td,Wa,Zb","Lt",0.79725,0.0199682873577079,0.0338999999999999,0.0404779878452474
"Ku,Pk,Sc8,Td,Wa,Zb","Lt",0.795766666666667,0.0217044542279536,0.0489166666666668,0.00898002412765876
"Ku,Pk,Td,Zb","Lt",0.647433333333333,0.00872386573333943,0.10145,0.0166556296788805
"Ku,Pk,Sc5,Td,Zb","Lt",0.893333333333333,0.0312104683292855,0.0153,0.0323503091175339
"Ku,Pk,Sc8,Td,Zb","Lt",0.85575,0.0265173528090569,0.0639166666666666,0.0142909353554388
"Td,Wa,Zb","Lt",0.68805,0.0237419460028027,0.241983333333333,0.0177171056703213
"Sc5,Td,Wa,Zb","Lt",0.947333333333333,0.00759939690589549,0.00658333333333331,0.00405719525452423
"Sc8,Td,Wa,Zb","Lt",0.942516666666667,0.018657594521624,0.00604999999999993,0.00124398553046251
"Ap,Hop,Mp,Td,Wa","Lt",0.435566666666667,0.0293014646960409,0.0837000000000001,0.0179633654975899
"Ap,Hop,Mp,Sc5,Td,Wa","Lt",0.808666666666667,0.0193394889625691,-0.0451499999999999,0.058075145286086
"Ap,Hop,Mp,Sc8,Td,Wa","Lt",0.85495,0.0409337269253607,-0.01115,0.0348298363475915
