"community","fun"
"Ap,Mp,Sc5,Wa",0.732498277365114
"Ap,Mp,Sc5,Zb",0.776235173667001
"Ap,Mp,Sc8,Sp",0.842450041564105
"Ap,Mp,Sc8,Td",0.812370799970094
"Ap,Mp,Sc8,Wa",0.778192349293858
"Ap,Mp,Sc8,Zb",0.81146255995146
"Ap,Mp,Sp,Td",0.726729559732146
"Ap,Mp,Sp,Wa",0.615928767937639
"Ap,Mp,Sp,Zb",0.68540377089628
"Ap,Mp,Td,Wa",0.467657601855606
"Ap,Mp,Td,Zb",0.568739580825712
"Ap,Mp,Wa,Zb",0.299939912744697
"Ap,Pk,Sc5,Sc8",0.848753216642058
"Ap,Pk,Sc5,Sp",0.815576472547118
"Ap,Pk,Sc5,Td",0.760437306662328
"Ap,Pk,Sc5,Wa",0.689297807980171
"Ap,Pk,Sc5,Zb",0.741551602218187
"Ap,Pk,Sc8,Sp",0.827876972765081
"Ap,Pk,Sc8,Td",0.781917077815326
"Ap,Pk,Sc8,Wa",0.724801779515415
"Ap,Pk,Sc8,Zb",0.76964473428841
"Ap,Pk,Sp,Td",0.72552664043008
"Ap,Pk,Sp,Wa",0.632414225423979
"Ap,Pk,Sp,Zb",0.695206086571557
"Ap,Pk,Td,Wa",0.45037822949359
"Ap,Pk,Td,Zb",0.552114759269037
"Ap,Pk,Wa,Zb",0.311331393548321
"Ap,Sc5,Sc8,Sp",0.896137030475187
"Ap,Sc5,Sc8,Td",0.880375415201915
"Ap,Sc5,Sc8,Wa",0.885475495119255
"Ap,Sc5,Sc8,Zb",0.898711245994152
"Ap,Sc5,Sp,Td",0.861621313258086
"Ap,Sc5,Sp,Wa",0.861120177024199
"Ap,Sc5,Sp,Zb",0.87776900830764
"Ap,Sc5,Td,Wa",0.818559852264911
"Ap,Sc5,Td,Zb",0.843457612189735
"Ap,Sc5,Wa,Zb",0.824520375271865
"Ap,Sc8,Sp,Td",0.865174592962643
"Ap,Sc8,Sp,Wa",0.867312764855643
"Ap,Sc8,Sp,Zb",0.881888988792293
"Ap,Sc8,Td,Wa",0.833741134532768
"Ap,Sc8,Td,Zb",0.853961926706881
"Ap,Sc8,Wa,Zb",0.84577260034371
"Ap,Sp,Td,Wa",0.748322524461937
"Ap,Sp,Td,Zb",0.777985798671986
"Ap,Sp,Wa,Zb",0.779762959477114
"Hop,Ku,Lt,Mp",0.727312610779432
"Hop,Ku,Lt,Pk",0.726285041266146
"Hop,Ku,Lt,Sc5",0.853011523382621
"Hop,Ku,Lt,Sc8",0.860950269399372
"Hop,Ku,Lt,Td",0.797687821196752
"Hop,Ku,Lt,Wa",0.74835404980007
"Hop,Ku,Lt,Zb",0.792628707430471
"Hop,Ku,Mp,Pk",0.356239192973896
"Hop,Ku,Mp,Sc5",0.740951067771637
"Hop,Ku,Mp,Sc8",0.770401821932309
"Hop,Ku,Mp,Sp",0.629688115930902
"Hop,Ku,Mp,Td",0.57184990233049
"Hop,Ku,Mp,Wa",0.338020793060092
"Hop,Ku,Mp,Zb",0.502647713182135
"Hop,Ku,Pk,Sc5",0.741615907143854
"Hop,Ku,Pk,Sc8",0.768469366807114
"Hop,Ku,Pk,Sp",0.634856005248433
"Hop,Ku,Pk,Td",0.582381970358526
"Hop,Ku,Pk,Wa",0.368195075239354
"Hop,Ku,Pk,Zb",0.522029785217292
"Hop,Ku,Sc5,Sc8",0.871418889548822
"Hop,Ku,Sc5,Sp",0.827114392843414
"Hop,Ku,Sc5,Td",0.8091933113938
"Hop,Ku,Sc5,Wa",0.770655777135413
"Hop,Ku,Sc5,Zb",0.815058711383011
"Hop,Ku,Sc8,Sp",0.841412098207442
"Hop,Ku,Sc8,Td",0.824557101992395
"Hop,Ku,Sc8,Wa",0.799753762301983
"Hop,Ku,Sc8,Zb",0.834024561944765
"Hop,Ku,Sp,Td",0.743901985094318
"Hop,Ku,Sp,Wa",0.643939651557566
"Hop,Ku,Sp,Zb",0.718241204290496
"Hop,Ku,Td,Wa",0.591652980864472
"Hop,Ku,Td,Zb",0.683178044247612
"Hop,Ku,Wa,Zb",0.526864394187032
"Hop,Lt,Mp,Pk",0.669193704826321
"Hop,Lt,Mp,Sc5",0.824384652889627
"Hop,Lt,Mp,Sc8",0.833111519041645
"Hop,Lt,Mp,Sp",0.801902261507777
"Hop,Lt,Mp,Td",0.761894647796146
"Hop,Lt,Mp,Wa",0.708927095358983
"Hop,Lt,Mp,Zb",0.759278483088694
"Hop,Lt,Pk,Sc5",0.822530391997307
"Hop,Lt,Pk,Sc8",0.829837122268666
"Hop,Lt,Pk,Sp",0.800900433050497
"Hop,Lt,Pk,Td",0.764755841962363
"Hop,Lt,Pk,Wa",0.72171268089534
"Hop,Lt,Pk,Zb",0.766936875848749
"Hop,Lt,Sc5,Sc8",0.895201820179971
"Hop,Lt,Sc5,Sp",0.879717188064924
"Hop,Lt,Sc5,Td",0.862750385955402
"Hop,Lt,Sc5,Wa",0.85935306111274
"Hop,Lt,Sc5,Zb",0.877640289043503
"Hop,Lt,Sc8,Sp",0.882467308120122
"Hop,Lt,Sc8,Td",0.866650840110458
"Hop,Lt,Sc8,Wa",0.864603427564733
"Hop,Lt,Sc8,Zb",0.881116434434403
"Hop,Lt,Sp,Td",0.8460845480933
"Hop,Lt,Sp,Wa",0.836487697543985
"Hop,Lt,Sp,Zb",0.858056121696117
"Hop,Lt,Td,Wa",0.803658435515041
"Hop,Lt,Td,Zb",0.832097542788153
"Hop,Lt,Wa,Zb",0.81573710957643
"Hop,Mp,Pk,Sc5",0.715481072102114
"Hop,Mp,Pk,Sc8",0.751231745464492
"Hop,Mp,Pk,Sp",0.622820033183603
"Hop,Mp,Pk,Td",0.564161463821828
"Hop,Mp,Pk,Wa",0.301455056834773
"Hop,Mp,Pk,Zb",0.456408768794091
"Hop,Mp,Sc5,Sc8",0.861721251539487
"Hop,Mp,Sc5,Sp",0.816355241940598
"Hop,Mp,Sc5,Td",0.792207086810524
"Hop,Mp,Sc5,Wa",0.728571199992013
"Hop,Mp,Sc5,Zb",0.778887248049666
"Hop,Mp,Sc8,Sp",0.833727794849585
"Hop,Mp,Sc8,Td",0.812993902432917
"Hop,Mp,Sc8,Wa",0.772802856578798
"Hop,Mp,Sc8,Zb",0.810587335250258
"Hop,Mp,Sp,Td",0.734464424225951
"Hop,Mp,Sp,Wa",0.617773048824504
"Hop,Mp,Sp,Zb",0.693359654642581
"Hop,Mp,Td,Wa",0.547491840509417
"Hop,Mp,Td,Zb",0.641199382073387
"Hop,Mp,Wa,Zb",0.408841852933556
"Hop,Pk,Sc5,Sc8",0.84500379364435
"Hop,Pk,Sc5,Sp",0.809365833981025
"Hop,Pk,Sc5,Td",0.773370481046714
"Hop,Pk,Sc5,Wa",0.702328065488511
"Hop,Pk,Sc5,Zb",0.756945382819817
"Hop,Pk,Sc8,Sp",0.823291998027363
"Hop,Pk,Sc8,Td",0.791225593140298
"Hop,Pk,Sc8,Wa",0.736482520049235
"Hop,Pk,Sc8,Zb",0.781574906838055
"Hop,Pk,Sp,Td",0.736245344927641
"Hop,Pk,Sp,Wa",0.637646299903519
"Hop,Pk,Sp,Zb",0.705764690324458
"Hop,Pk,Td,Wa",0.545522933117565
"Hop,Pk,Td,Zb",0.63614344692624
"Hop,Pk,Wa,Zb",0.436617288160756
"Hop,Sc5,Sc8,Sp",0.886897406727176
"Hop,Sc5,Sc8,Td",0.873129031730035
"Hop,Sc5,Sc8,Wa",0.871806764144695
"Hop,Sc5,Sc8,Zb",0.887804872040116
"Hop,Sc5,Sp,Td",0.852416425090431
"Hop,Sc5,Sp,Wa",0.840818550293712
"Hop,Sc5,Sp,Zb",0.862768077419618
"Hop,Sc5,Td,Wa",0.815845808869081
"Hop,Sc5,Td,Zb",0.843069033121655
"Hop,Sc5,Wa,Zb",0.816509602605111
"Hop,Sc8,Sp,Td",0.857046763062525
"Hop,Sc8,Sp,Wa",0.850913893671863
"Hop,Sc8,Sp,Zb",0.869228134667602
"Hop,Sc8,Td,Wa",0.829341044560983
"Hop,Sc8,Td,Zb",0.851307444217246
"Hop,Sc8,Wa,Zb",0.83722583259763
"Hop,Sp,Td,Wa",0.751135621980689
"Hop,Sp,Td,Zb",0.784994413495203
"Hop,Sp,Wa,Zb",0.763962012484326
"Ku,Lt,Mp,Pk",0.642574998822086
"Ku,Lt,Mp,Sc5",0.815918456281369
"Ku,Lt,Mp,Sc8",0.824901054809377
"Ku,Lt,Mp,Td",0.743358541817826
"Ku,Lt,Mp,Wa",0.689165285131314
"Ku,Lt,Mp,Zb",0.742353505148132
"Ku,Lt,Pk,Sc5",0.813057439133098
"Ku,Lt,Pk,Sc8",0.820967474222835
"Ku,Lt,Pk,Td",0.744602037950984
"Ku,Lt,Pk,Wa",0.697916731497399
"Ku,Lt,Pk,Zb",0.74701662612463
"Ku,Lt,Sc5,Sc8",0.889837628121861
"Ku,Lt,Sc5,Td",0.854972678552259
"Ku,Lt,Sc5,Wa",0.852367570360208
"Ku,Lt,Sc5,Zb",0.871001799643752
"Ku,Lt,Sc8,Td",0.859337810008931
"Ku,Lt,Sc8,Wa",0.857317176885808
"Ku,Lt,Sc8,Zb",0.874335925360085
"Ku,Lt,Td,Wa",0.786575030878321
"Ku,Lt,Td,Zb",0.817628101957947
"Ku,Lt,Wa,Zb",0.802732319627089
"Ku,Mp,Pk,Sc5",0.701063140977131
"Ku,Mp,Pk,Sc8",0.73861265001664
"Ku,Mp,Pk,Sp",0.545165426565287
"Ku,Mp,Pk,Td",0.489255019132399
"Ku,Mp,Pk,Wa",0.217279043719786
"Ku,Mp,Pk,Zb",0.387923316012557
"Ku,Mp,Sc5,Sc8",0.859303624683501
"Ku,Mp,Sc5,Sp",0.798053256837628
"Ku,Mp,Sc5,Td",0.780243990199446
"Ku,Mp,Sc5,Wa",0.729568647311932
"Ku,Mp,Sc5,Zb",0.777226903491897
"Ku,Mp,Sc8,Sp",0.81945767639262
"Ku,Mp,Sc8,Td",0.802633822344829
"Ku,Mp,Sc8,Wa",0.770310347564424
"Ku,Mp,Sc8,Zb",0.80672879151511
